# eV, DoS
6.685619313037920175e-02 2.004718310209360421e+00
6.715599668701767444e-02 2.006189202945550587e+00
6.745580024365614713e-02 2.007660095681740753e+00
6.775560380029460594e-02 2.625460609817150015e+00
6.805540735693309251e-02 3.313577661187328882e+00
6.835521091357155132e-02 4.001694712557473999e+00
6.865501447021003789e-02 4.689811763927653310e+00
6.895481802684849670e-02 5.377928815297799758e+00
6.925462158348698327e-02 6.066045866667978181e+00
6.955442514012544208e-02 6.717928038414649805e+00
6.985422869676391477e-02 6.706976573406106645e+00
7.015403225340238746e-02 6.696025108397562597e+00
7.045383581004086015e-02 6.685073643389018549e+00
7.075363936667933284e-02 6.674122178380474502e+00
7.105344292331780554e-02 6.663170713371931342e+00
7.135324647995626435e-02 6.652219248363387294e+00
7.165305003659475092e-02 6.557390427851399473e+00
7.195285359323320973e-02 6.139409513358658366e+00
7.225265714987169630e-02 5.721428598865898607e+00
7.255246070651015511e-02 5.303447684373158388e+00
7.285226426314864168e-02 4.885466769880397742e+00
7.315206781978710049e-02 4.467485855387657523e+00
7.345187137642557318e-02 4.049504940894917304e+00
7.375167493306404587e-02 3.657172580655513094e+00
7.405147848970251856e-02 3.310376188718306967e+00
7.435128204634099125e-02 2.963579796781084852e+00
7.465108560297946394e-02 2.616783404843878724e+00
7.495088915961792275e-02 2.269987012906672597e+00
7.525069271625640932e-02 1.923190620969449816e+00
7.555049627289488201e-02 1.576394229032243910e+00
7.585029982953335470e-02 1.371883430673570103e+00
7.615010338617182739e-02 1.301611530202086087e+00
7.644990694281030008e-02 1.231339629730598739e+00
7.674971049944877277e-02 1.161067729259114945e+00
7.704951405608723158e-02 1.090795828787630928e+00
7.734931761272571815e-02 1.037815154799835771e+00
7.764912116936417696e-02 9.998141838050902397e-01
7.794892472600266353e-02 9.618132128103427103e-01
7.824872828264112234e-02 9.238122418155972904e-01
7.854853183927960891e-02 8.858112708208497610e-01
7.884833539591806773e-02 8.478102998261043410e-01
7.914813895255654042e-02 8.098093288313586990e-01
7.944794250919501311e-02 7.718083578366112807e-01
7.974774606583348580e-02 7.338073868418657497e-01
8.004754962247195849e-02 6.958064158471183314e-01
8.034735317911043118e-02 6.578054448523726894e-01
8.064715673574888999e-02 6.198044738576271584e-01
8.094696029238737656e-02 5.818035028628797400e-01
8.124676384902583537e-02 5.438025318681342091e-01
8.154656740566432194e-02 5.058015608733867907e-01
8.184637096230278075e-02 4.678005898786412042e-01
8.214617451894126732e-02 1.092966136753484419e+00
8.244597807557972613e-02 2.039485612491890087e+00
8.274578163221819882e-02 2.726430414640803157e+00
8.304558518885667151e-02 2.704223180657935544e+00
8.334538874549514420e-02 2.682015946675068374e+00
8.364519230213361689e-02 2.659808712692201205e+00
8.394499585877208958e-02 2.637601478709334035e+00
8.424479941541054839e-02 2.615394244726467310e+00
8.454460297204903496e-02 2.593187010743599696e+00
8.484440652868749377e-02 2.570979776760732527e+00
8.514421008532598034e-02 2.489406592560590159e+00
8.544401364196443915e-02 2.317833640760076808e+00
8.574381719860292572e-02 2.146260688959555907e+00
8.604362075524139841e-02 1.974687737159042777e+00
8.634342431187985722e-02 1.803114785358529426e+00
8.664322786851834379e-02 1.631541833558008081e+00
8.694303142515680261e-02 1.459968881757495174e+00
8.724283498179528917e-02 1.310626807801937188e+00
8.754263853843374799e-02 1.179349631096962225e+00
8.784244209507222068e-02 1.048072454391987263e+00
8.814224565171069337e-02 9.167952776870063047e-01
8.844204920834916606e-02 0.000000000000000000e+00
8.874185276498763875e-02 0.000000000000000000e+00
8.904165632162611144e-02 0.000000000000000000e+00
8.934145987826458413e-02 0.000000000000000000e+00
8.964126343490305682e-02 0.000000000000000000e+00
