  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.74289425E+04  0.10409965E-13
  0.77291390E+04  0.91667061E-14
  0.80414661E+04  0.80619099E-14
  0.83664141E+04  0.70822694E-14
  0.87044929E+04  0.62144168E-14
  0.90562332E+04  0.54466651E-14
  0.94221869E+04  0.47684095E-14
  0.98029285E+04  0.41700020E-14
  0.10199056E+05  0.36424359E-14
  0.10611190E+05  0.31785488E-14
  0.11039978E+05  0.27707848E-14
  0.11486093E+05  0.24129388E-14
  0.11950235E+05  0.20991493E-14
  0.12433132E+05  0.18244132E-14
  0.12935543E+05  0.15840682E-14
  0.13458256E+05  0.13740274E-14
  0.14002092E+05  0.11907972E-14
  0.14567903E+05  0.10310524E-14
  0.15156578E+05  0.89195848E-15
  0.15769041E+05  0.77096299E-15
  0.16406253E+05  0.66579327E-15
  0.17069214E+05  0.57448403E-15
  0.17758964E+05  0.49526147E-15
  0.18476587E+05  0.42663817E-15
  0.19223208E+05  0.36721567E-15
  0.20000000E+05  0.31582346E-15
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.21579171E-09
  0.10404090E+01  0.21566396E-09
  0.10824510E+01  0.21553058E-09
  0.11261918E+01  0.21539139E-09
  0.11717001E+01  0.21524623E-09
  0.12190474E+01  0.21509495E-09
  0.12683080E+01  0.21493743E-09
  0.13195591E+01  0.21477354E-09
  0.13728812E+01  0.21460320E-09
  0.14283580E+01  0.21442637E-09
  0.14860766E+01  0.21424303E-09
  0.15461276E+01  0.21405321E-09
  0.16086051E+01  0.21385701E-09
  0.16736073E+01  0.21365444E-09
  0.17412362E+01  0.21344523E-09
  0.18115979E+01  0.21322903E-09
  0.18848028E+01  0.21300546E-09
  0.19609659E+01  0.21277407E-09
  0.20402067E+01  0.21253436E-09
  0.21226495E+01  0.21228576E-09
  0.22084237E+01  0.21202760E-09
  0.22976640E+01  0.21175915E-09
  0.23905104E+01  0.21147951E-09
  0.24871087E+01  0.21118772E-09
  0.25876104E+01  0.21088300E-09
  0.26921732E+01  0.21056504E-09
  0.28009614E+01  0.21023354E-09
  0.29141456E+01  0.20988832E-09
  0.30319034E+01  0.20952921E-09
  0.31544197E+01  0.20915615E-09
  0.32818868E+01  0.20876918E-09
  0.34145047E+01  0.20836846E-09
  0.35524816E+01  0.20795429E-09
  0.36960340E+01  0.20752706E-09
  0.38453872E+01  0.20708664E-09
  0.40007757E+01  0.20663264E-09
  0.41624432E+01  0.20616464E-09
  0.43306436E+01  0.20568215E-09
  0.45056407E+01  0.20518468E-09
  0.46877094E+01  0.20467166E-09
  0.48771352E+01  0.20414247E-09
  0.50742156E+01  0.20359641E-09
  0.52792599E+01  0.20303272E-09
  0.54925897E+01  0.20245051E-09
  0.57145400E+01  0.20184894E-09
  0.59454591E+01  0.20122747E-09
  0.61857095E+01  0.20058563E-09
  0.64356681E+01  0.19992296E-09
  0.66957273E+01  0.19923900E-09
  0.69662953E+01  0.19853331E-09
  0.72477966E+01  0.19780545E-09
  0.75406732E+01  0.19705502E-09
  0.78453846E+01  0.19628165E-09
  0.81624091E+01  0.19548499E-09
  0.84922443E+01  0.19466471E-09
  0.88354078E+01  0.19382053E-09
  0.91924382E+01  0.19295210E-09
  0.95638959E+01  0.19205894E-09
  0.99503638E+01  0.19114055E-09
  0.10352449E+02  0.19019642E-09
  0.10770781E+02  0.18922600E-09
  0.11206018E+02  0.18822864E-09
  0.11658843E+02  0.18720354E-09
  0.12129965E+02  0.18614976E-09
  0.12620126E+02  0.18506626E-09
  0.13130093E+02  0.18395182E-09
  0.13660667E+02  0.18280506E-09
  0.14212682E+02  0.18162445E-09
  0.14787003E+02  0.18040898E-09
  0.15384532E+02  0.17915786E-09
  0.16006206E+02  0.17787029E-09
  0.16653001E+02  0.17654543E-09
  0.17325933E+02  0.17518279E-09
  0.18026058E+02  0.17378230E-09
  0.18754474E+02  0.17234403E-09
  0.19512324E+02  0.17086800E-09
  0.20300798E+02  0.16935309E-09
  0.21121134E+02  0.16779755E-09
  0.21974619E+02  0.16619934E-09
  0.22862593E+02  0.16455686E-09
  0.23786448E+02  0.16286952E-09
  0.24747636E+02  0.16113687E-09
  0.25747664E+02  0.15935852E-09
  0.26788103E+02  0.15753403E-09
  0.27870585E+02  0.15566260E-09
  0.28996808E+02  0.15374320E-09
  0.30168542E+02  0.15177472E-09
  0.31387624E+02  0.14975669E-09
  0.32655968E+02  0.14768929E-09
  0.33975564E+02  0.14557281E-09
  0.35348484E+02  0.14340755E-09
  0.36776883E+02  0.14119380E-09
  0.38263002E+02  0.13893202E-09
  0.39809173E+02  0.13662276E-09
  0.41417824E+02  0.13426673E-09
  0.43091479E+02  0.13186469E-09
  0.44832764E+02  0.12941736E-09
  0.46644414E+02  0.12692538E-09
  0.48529270E+02  0.12438997E-09
  0.50490292E+02  0.12181431E-09
  0.52530556E+02  0.11920209E-09
  0.54653266E+02  0.11655470E-09
  0.56861752E+02  0.11387259E-09
  0.59159481E+02  0.11115824E-09
  0.61550060E+02  0.10841562E-09
  0.64037239E+02  0.10564862E-09
  0.66624923E+02  0.10285892E-09
  0.69317172E+02  0.10004766E-09
  0.72118213E+02  0.97220498E-10
  0.75032441E+02  0.94385636E-10
  0.78064431E+02  0.91544673E-10
  0.81218940E+02  0.88697237E-10
  0.84500920E+02  0.85848334E-10
  0.87915522E+02  0.83004373E-10
  0.91468104E+02  0.80170270E-10
  0.95164243E+02  0.77350042E-10
  0.99009740E+02  0.74547688E-10
  0.10301063E+03  0.71767201E-10
  0.10717319E+03  0.69012700E-10
  0.11150396E+03  0.66288249E-10
  0.11600973E+03  0.63597764E-10
  0.12069757E+03  0.60946152E-10
  0.12557484E+03  0.58338353E-10
  0.13064920E+03  0.55777199E-10
  0.13592861E+03  0.53264514E-10
  0.14142136E+03  0.50802825E-10
  0.14713606E+03  0.48396979E-10
  0.15308169E+03  0.46050383E-10
  0.15926757E+03  0.43764637E-10
  0.16570342E+03  0.41541742E-10
  0.17239934E+03  0.39383628E-10
  0.17936583E+03  0.37291927E-10
  0.18661383E+03  0.35267489E-10
  0.19415472E+03  0.33309915E-10
  0.20200033E+03  0.31424890E-10
  0.21016297E+03  0.29610503E-10
  0.21865546E+03  0.27861209E-10
  0.22749111E+03  0.26186645E-10
  0.23668381E+03  0.24580089E-10
  0.24624798E+03  0.23041212E-10
  0.25619863E+03  0.21570955E-10
  0.26655137E+03  0.20170414E-10
  0.27732246E+03  0.18837175E-10
  0.28852879E+03  0.17567137E-10
  0.30018797E+03  0.16361367E-10
  0.31231828E+03  0.15219392E-10
  0.32493876E+03  0.14139540E-10
  0.33806922E+03  0.13117606E-10
  0.35173028E+03  0.12153557E-10
  0.36594337E+03  0.11246325E-10
  0.38073079E+03  0.10393456E-10
  0.39611576E+03  0.95919204E-11
  0.41212242E+03  0.88408661E-11
  0.42877589E+03  0.81386483E-11
  0.44610232E+03  0.74821361E-11
  0.46412888E+03  0.68699251E-11
  0.48288389E+03  0.62997215E-11
  0.50239677E+03  0.57697841E-11
  0.52269814E+03  0.52779511E-11
  0.54381988E+03  0.48221012E-11
  0.56579512E+03  0.44003098E-11
  0.58865836E+03  0.40105349E-11
  0.61244548E+03  0.36509464E-11
  0.63719382E+03  0.33199194E-11
  0.66294222E+03  0.30153478E-11
  0.68973108E+03  0.27356318E-11
  0.71760246E+03  0.24786430E-11
  0.74660009E+03  0.22436332E-11
  0.77676949E+03  0.20285904E-11
  0.80815800E+03  0.18321173E-11
  0.84081490E+03  0.16526454E-11
  0.87479142E+03  0.14891463E-11
  0.91014091E+03  0.13403557E-11
  0.94691884E+03  0.12051933E-11
  0.98518293E+03  0.10824539E-11
  0.10249932E+04  0.97101663E-12
  0.10664122E+04  0.87013240E-12
  0.11095049E+04  0.77890109E-12
  0.11543390E+04  0.69656349E-12
  0.12009847E+04  0.62221671E-12
  0.12495154E+04  0.55521314E-12
  0.13000071E+04  0.49484337E-12
  0.13525391E+04  0.44059365E-12
  0.14071939E+04  0.39190455E-12
  0.14640573E+04  0.34826961E-12
  0.15232185E+04  0.30914544E-12
  0.15847703E+04  0.27415261E-12
  0.16488093E+04  0.24289901E-12
  0.17154361E+04  0.21501306E-12
  0.17847553E+04  0.19014435E-12
  0.18568755E+04  0.16799318E-12
  0.19319101E+04  0.14829240E-12
  0.20099768E+04  0.13078335E-12
  0.20911980E+04  0.11524456E-12
  0.21757013E+04  0.10146625E-12
  0.22636193E+04  0.89255956E-13
  0.23550900E+04  0.78452829E-13
  0.24502570E+04  0.68904812E-13
  0.25492695E+04  0.60468854E-13
  0.26522831E+04  0.53024239E-13
  0.27594593E+04  0.46461243E-13
  0.28709664E+04  0.40679835E-13
  0.29869795E+04  0.35592004E-13
  0.31076805E+04  0.31117834E-13
  0.32332589E+04  0.27185659E-13
  0.33639118E+04  0.23732323E-13
  0.34998442E+04  0.20702055E-13
  0.36412696E+04  0.18047279E-13
  0.37884098E+04  0.15720087E-13
  0.39414959E+04  0.13684299E-13
  0.41007680E+04  0.11906731E-13
  0.42664761E+04  0.10350687E-13
  0.44388803E+04  0.89919430E-14
  0.46182512E+04  0.78075111E-14
  0.48048704E+04  0.67731183E-14
  0.49990306E+04  0.58726801E-14
  0.52010367E+04  0.50894947E-14
  0.54112056E+04  0.44082158E-14
  0.56298673E+04  0.38162181E-14
  0.58573648E+04  0.32990196E-14
  0.60940554E+04  0.28524589E-14
  0.63403103E+04  0.24650967E-14
  0.65965162E+04  0.21279987E-14
  0.68630752E+04  0.18352839E-14
  0.71404055E+04  0.15830704E-14
  0.74289425E+04  0.13646193E-14
  0.77291390E+04  0.11753982E-14
  0.80414661E+04  0.10115619E-14
  0.83664141E+04  0.87074428E-15
  0.87044929E+04  0.74852258E-15
  0.90562332E+04  0.64315152E-15
  0.94221869E+04  0.55243483E-15
  0.98029285E+04  0.47408617E-15
  0.10199056E+05  0.40681815E-15
  0.10611190E+05  0.34888664E-15
  0.11039978E+05  0.29892534E-15
  0.11486093E+05  0.25590780E-15
  0.11950235E+05  0.21931377E-15
  0.12433132E+05  0.18755825E-15
  0.12935543E+05  0.16053570E-15
  0.13458256E+05  0.13720786E-15
  0.14002092E+05  0.11726765E-15
  0.14567903E+05  0.10017196E-15
  0.15156578E+05  0.85475801E-16
  0.15769041E+05  0.72899884E-16
  0.16406253E+05  0.62220316E-16
  0.17069214E+05  0.53003319E-16
  0.17758964E+05  0.45167597E-16
  0.18476587E+05  0.38440618E-16
  0.19223208E+05  0.32754013E-16
  0.20000000E+05  0.27848081E-16
  Principal QN n  Azimuthal QN l
               2               1
 Electron Energy Probability dst
  0.10000000E+01  0.18663609E-08
  0.10404090E+01  0.18799761E-08
  0.10824510E+01  0.18940315E-08
  0.11261918E+01  0.19085354E-08
  0.11717001E+01  0.19234956E-08
  0.12190474E+01  0.19389190E-08
  0.12683080E+01  0.19548123E-08
  0.13195591E+01  0.19711809E-08
  0.13728812E+01  0.19880295E-08
  0.14283580E+01  0.20053616E-08
  0.14860766E+01  0.20231793E-08
  0.15461276E+01  0.20414834E-08
  0.16086051E+01  0.20602730E-08
  0.16736073E+01  0.20795464E-08
  0.17412362E+01  0.20993026E-08
  0.18115979E+01  0.21195397E-08
  0.18848028E+01  0.21402541E-08
  0.19609659E+01  0.21614406E-08
  0.20402067E+01  0.21830923E-08
  0.21226495E+01  0.22052003E-08
  0.22084237E+01  0.22277538E-08
  0.22976640E+01  0.22507395E-08
  0.23905104E+01  0.22741421E-08
  0.24871087E+01  0.22979434E-08
  0.25876104E+01  0.23221215E-08
  0.26921732E+01  0.23466496E-08
  0.28009614E+01  0.23714968E-08
  0.29141456E+01  0.23966285E-08
  0.30319034E+01  0.24220055E-08
  0.31544197E+01  0.24475841E-08
  0.32818868E+01  0.24733154E-08
  0.34145047E+01  0.24991455E-08
  0.35524816E+01  0.25250146E-08
  0.36960340E+01  0.25508586E-08
  0.38453872E+01  0.25766163E-08
  0.40007757E+01  0.26022268E-08
  0.41624432E+01  0.26276267E-08
  0.43306436E+01  0.26527504E-08
  0.45056407E+01  0.26775307E-08
  0.46877094E+01  0.27018996E-08
  0.48771352E+01  0.27257890E-08
  0.50742156E+01  0.27491322E-08
  0.52792599E+01  0.27718651E-08
  0.54925897E+01  0.27939278E-08
  0.57145400E+01  0.28152584E-08
  0.59454591E+01  0.28357740E-08
  0.61857095E+01  0.28553893E-08
  0.64356681E+01  0.28740216E-08
  0.66957273E+01  0.28915938E-08
  0.69662953E+01  0.29080358E-08
  0.72477966E+01  0.29232843E-08
  0.75406732E+01  0.29372647E-08
  0.78453846E+01  0.29499047E-08
  0.81624091E+01  0.29611439E-08
  0.84922443E+01  0.29709382E-08
  0.88354078E+01  0.29792634E-08
  0.91924382E+01  0.29860789E-08
  0.95638959E+01  0.29913073E-08
  0.99503638E+01  0.29948793E-08
  0.10352449E+02  0.29967413E-08
