#  Principal QN n  Azimuthal QN l
#               1               0
# Electron Energy Probability dst
  0.81447626E+01  0.25843057E-12
  0.85164544E+01  0.25836245E-12
  0.89051085E+01  0.25827171E-12
  0.93114992E+01  0.25815757E-12
  0.97364357E+01  0.25801954E-12
  0.10180765E+02  0.25785753E-12
  0.10645371E+02  0.25767188E-12
  0.11131179E+02  0.25746355E-12
  0.11639158E+02  0.25723425E-12
  0.12170319E+02  0.25698661E-12
  0.12725720E+02  0.25672434E-12
  0.13306467E+02  0.25645255E-12
  0.13913716E+02  0.25617798E-12
  0.14548678E+02  0.25590933E-12
  0.15212617E+02  0.25565537E-12
  0.15906855E+02  0.25541826E-12
  0.16632775E+02  0.25519819E-12
  0.17391823E+02  0.25499483E-12
  0.18185510E+02  0.25480720E-12
  0.19015418E+02  0.25463350E-12
  0.19883200E+02  0.25447093E-12
  0.20790583E+02  0.25431544E-12
  0.21739375E+02  0.25416146E-12
  0.22731466E+02  0.25400159E-12
  0.23768832E+02  0.25382623E-12
  0.24853539E+02  0.25362722E-12
  0.25987747E+02  0.25340289E-12
  0.27173715E+02  0.25315259E-12
  0.28413806E+02  0.25287602E-12
  0.29710489E+02  0.25257323E-12
  0.31066348E+02  0.25224480E-12
  0.32484081E+02  0.25189195E-12
  0.33966514E+02  0.25151663E-12
  0.35516599E+02  0.25112179E-12
  0.37137423E+02  0.25071149E-12
  0.38832214E+02  0.25029122E-12
  0.40604349E+02  0.24986812E-12
  0.42457356E+02  0.24945118E-12
  0.44394926E+02  0.24904593E-12
  0.46420918E+02  0.24865161E-12
  0.48539368E+02  0.24826625E-12
  0.50754495E+02  0.24788678E-12
  0.53070711E+02  0.24750884E-12
  0.55492628E+02  0.24712645E-12
  0.58025072E+02  0.24673168E-12
  0.60673085E+02  0.24631707E-12
  0.63441942E+02  0.24588137E-12
  0.66337158E+02  0.24542471E-12
  0.69364499E+02  0.24494749E-12
  0.72529995E+02  0.24445047E-12
  0.75839950E+02  0.24393486E-12
  0.79300958E+02  0.24340238E-12
  0.82919910E+02  0.24285539E-12
  0.86704016E+02  0.24229664E-12
  0.90660813E+02  0.24172653E-12
  0.94798180E+02  0.24114400E-12
  0.99124359E+02  0.24054759E-12
  0.10364797E+03  0.23993543E-12
  0.10837801E+03  0.23930504E-12
  0.11332391E+03  0.23865412E-12
  0.11849553E+03  0.23798215E-12
  0.12390315E+03  0.23728898E-12
  0.12955756E+03  0.23657455E-12
  0.13547000E+03  0.23583889E-12
  0.14165227E+03  0.23508209E-12
  0.14811666E+03  0.23430397E-12
  0.15487607E+03  0.23350316E-12
  0.16194394E+03  0.23267780E-12
  0.16933436E+03  0.23182553E-12
  0.17706205E+03  0.23094352E-12
  0.18514240E+03  0.23002943E-12
  0.19359150E+03  0.22908196E-12
  0.20242617E+03  0.22809980E-12
  0.21166403E+03  0.22708148E-12
  0.22132346E+03  0.22602550E-12
  0.23142371E+03  0.22493072E-12
  0.24198488E+03  0.22379617E-12
  0.25302803E+03  0.22262087E-12
  0.26457513E+03  0.22140379E-12
  0.27664920E+03  0.22014299E-12
  0.28927427E+03  0.21883584E-12
  0.30247550E+03  0.21747929E-12
  0.31627917E+03  0.21607110E-12
  0.33071278E+03  0.21461174E-12
  0.34580508E+03  0.21310262E-12
  0.36158613E+03  0.21154568E-12
  0.37808736E+03  0.20993837E-12
  0.39534163E+03  0.20827238E-12
  0.41338331E+03  0.20653791E-12
  0.43224834E+03  0.20473264E-12
  0.45197428E+03  0.20286100E-12
  0.47260044E+03  0.20092942E-12
  0.49416788E+03  0.19894115E-12
  0.51671956E+03  0.19689035E-12
  0.54030041E+03  0.19476993E-12
  0.56495738E+03  0.19257800E-12
  0.59073959E+03  0.19031473E-12
  0.61769839E+03  0.18798103E-12
  0.64588748E+03  0.18558062E-12
  0.67536299E+03  0.18311827E-12
  0.70618363E+03  0.18059213E-12
  0.73841080E+03  0.17799662E-12
  0.77210867E+03  0.17532730E-12
  0.80734438E+03  0.17259355E-12
  0.84418808E+03  0.16980270E-12
  0.88271317E+03  0.16694625E-12
  0.92299639E+03  0.16401329E-12
  0.96511795E+03  0.16102381E-12
  0.10091618E+04  0.15800789E-12
  0.10552155E+04  0.15494126E-12
  0.11033710E+04  0.15178716E-12
  0.11537241E+04  0.14856111E-12
  0.12063751E+04  0.14529809E-12
  0.12614288E+04  0.14199760E-12
  0.13189950E+04  0.13865412E-12
  0.13791882E+04  0.13526316E-12
  0.14421284E+04  0.13183139E-12
  0.15079409E+04  0.12837180E-12
  0.15767568E+04  0.12488146E-12
  0.16487131E+04  0.12135763E-12
  0.17239533E+04  0.11781122E-12
  0.18026270E+04  0.11424741E-12
  0.18848911E+04  0.11066985E-12
  0.19709094E+04  0.10708783E-12
  0.20608532E+04  0.10350241E-12
  0.21549016E+04  0.99915327E-13
  0.22532420E+04  0.96335604E-13
  0.23560703E+04  0.92769573E-13
  0.24635911E+04  0.89217574E-13
  0.25760188E+04  0.85686777E-13
  0.26935771E+04  0.82190316E-13
  0.28165003E+04  0.78727204E-13
  0.29450332E+04  0.75302927E-13
  0.30794318E+04  0.71923922E-13
  0.32199637E+04  0.68591510E-13
  0.33669090E+04  0.65314993E-13
  0.35205601E+04  0.62104176E-13
  0.36812233E+04  0.58957030E-13
  0.38492184E+04  0.55885979E-13
  0.40248800E+04  0.52881556E-13
  0.42085582E+04  0.49946596E-13
  0.44006186E+04  0.47116605E-13
  0.46014438E+04  0.44364669E-13
  0.48114338E+04  0.41703871E-13
  0.50310068E+04  0.39134927E-13
  0.52606002E+04  0.36661005E-13
  0.55006712E+04  0.34281769E-13
  0.57516981E+04  0.32002200E-13
  0.60141807E+04  0.29821107E-13
  0.62886419E+04  0.27739218E-13
  0.65756283E+04  0.25756397E-13
  0.68757115E+04  0.23872251E-13
  0.71894893E+04  0.22085896E-13
  0.75175865E+04  0.20395764E-13
  0.78606566E+04  0.18800686E-13
  0.82193830E+04  0.17298211E-13
  0.85944801E+04  0.15886834E-13
  0.89866950E+04  0.14563789E-13
  0.93968089E+04  0.13326598E-13
  0.98256386E+04  0.12172002E-13
  0.10274038E+05  0.11096717E-13
  0.10742901E+05  0.10098029E-13
  0.11233160E+05  0.91723348E-14
  0.11745793E+05  0.83165380E-14
  0.12281820E+05  0.75267293E-14
  0.12842310E+05  0.67999519E-14
  0.13428377E+05  0.61319336E-14
  0.14041190E+05  0.55198229E-14
  0.14681969E+05  0.49600308E-14
  0.15351991E+05  0.44489630E-14
  0.16052589E+05  0.39835687E-14
  0.16785160E+05  0.35607492E-14
  0.17551162E+05  0.31772682E-14
  0.18352121E+05  0.28302380E-14
  0.19189633E+05  0.25167404E-14
  0.20065365E+05  0.22342519E-14
  0.20981061E+05  0.19800842E-14
  0.21938546E+05  0.17519545E-14
  0.22939727E+05  0.15473323E-14
  0.23986596E+05  0.13647491E-14
  0.25081241E+05  0.12015587E-14
  0.26225840E+05  0.10562176E-14
  0.27422674E+05  0.92697569E-15
  0.28674126E+05  0.81225436E-15
  0.29982690E+05  0.71061503E-15
  0.31350970E+05  0.62074242E-15
  0.32781693E+05  0.54139824E-15
  0.34277707E+05  0.47148034E-15
  0.35841994E+05  0.40997269E-15
  0.37477667E+05  0.35595428E-15
  0.39187986E+05  0.30859320E-15
  0.40976356E+05  0.26714628E-15
  0.42846340E+05  0.23091817E-15
  0.44801661E+05  0.19931368E-15
  0.46846215E+05  0.17178615E-15
  0.48984074E+05  0.14785330E-15
  0.51219495E+05  0.12707395E-15
  0.53556932E+05  0.10906454E-15
  0.56001038E+05  0.93470251E-16
  0.58556683E+05  0.79988187E-16
  0.61228957E+05  0.68362053E-16
  0.64023182E+05  0.58346660E-16
  0.66944923E+05  0.49731872E-16
  0.70000000E+05  0.42330896E-16
  Principal QN n  Azimuthal QN l
               2               1
 Electron Energy Probability dst
  0.10000000E+01  0.14179232E-11
  0.10456357E+01  0.14245720E-11
  0.10933540E+01  0.14314608E-11
  0.11432499E+01  0.14385951E-11
  0.11954229E+01  0.14459798E-11
  0.12499768E+01  0.14536198E-11
  0.13070204E+01  0.14615196E-11
  0.13666671E+01  0.14696832E-11
  0.14290359E+01  0.14781141E-11
  0.14942509E+01  0.14868155E-11
  0.15624421E+01  0.14957898E-11
  0.16337452E+01  0.15050386E-11
  0.17083022E+01  0.15145628E-11
  0.17862617E+01  0.15243626E-11
  0.18677790E+01  0.15344368E-11
  0.19530164E+01  0.15447833E-11
  0.20421436E+01  0.15553988E-11
  0.21353382E+01  0.15662784E-11
  0.22327858E+01  0.15774158E-11
  0.23346805E+01  0.15888031E-11
  0.24412252E+01  0.16004303E-11
  0.25526322E+01  0.16122855E-11
  0.26691232E+01  0.16243547E-11
  0.27909305E+01  0.16366213E-11
  0.29182965E+01  0.16490663E-11
  0.30514749E+01  0.16616677E-11
  0.31907310E+01  0.16744008E-11
  0.33363422E+01  0.16872373E-11
  0.34885984E+01  0.17001459E-11
  0.36478030E+01  0.17130912E-11
  0.38142729E+01  0.17260344E-11
  0.39883398E+01  0.17389325E-11
  0.41703504E+01  0.17517384E-11
  0.43606672E+01  0.17644005E-11
  0.45596692E+01  0.17768630E-11
  0.47677528E+01  0.17890654E-11
  0.49853324E+01  0.18009429E-11
  0.52128414E+01  0.18124262E-11
  0.54507329E+01  0.18234417E-11
  0.56994808E+01  0.18339119E-11
  0.59595804E+01  0.18437557E-11
  0.62315499E+01  0.18528889E-11
  0.65159309E+01  0.18612252E-11
  0.68132898E+01  0.18686772E-11
  0.71242189E+01  0.18751574E-11
  0.74493374E+01  0.18805803E-11
  0.77892930E+01  0.18848643E-11
  0.81447626E+01  0.18879340E-11
  0.85164544E+01  0.18897241E-11
  0.89051085E+01  0.18901822E-11
  0.93114992E+01  0.18892743E-11
  0.97364357E+01  0.18869901E-11
  0.10180765E+02  0.18833495E-11
  0.10645371E+02  0.18784109E-11
  0.11131179E+02  0.18722804E-11
