  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.31350970E+05  0.62622194E-15
  0.32781693E+05  0.54693895E-15
  0.34277707E+05  0.47678576E-15
  0.35841994E+05  0.41484570E-15
  0.37477667E+05  0.36027973E-15
  0.39187986E+05  0.31230159E-15
  0.40976356E+05  0.27021875E-15
  0.42846340E+05  0.23338991E-15
  0.44801661E+05  0.20121847E-15
  0.46846215E+05  0.17318093E-15
  0.48984074E+05  0.14879120E-15
  0.51219495E+05  0.12761751E-15
  0.53556932E+05  0.10927007E-15
  0.56001038E+05  0.93401394E-16
  0.58556683E+05  0.79708121E-16
  0.61228957E+05  0.67911357E-16
  0.64023182E+05  0.57769355E-16
  0.66944923E+05  0.49064098E-16
  0.70000000E+05  0.41606226E-16
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.42168493E-11
  0.10456357E+01  0.42153322E-11
  0.10933540E+01  0.42137486E-11
  0.11432499E+01  0.42120955E-11
  0.11954229E+01  0.42103703E-11
  0.12499768E+01  0.42085698E-11
  0.13070204E+01  0.42066910E-11
  0.13666671E+01  0.42047307E-11
  0.14290359E+01  0.42026857E-11
  0.14942509E+01  0.42005524E-11
  0.15624421E+01  0.41983274E-11
  0.16337452E+01  0.41960071E-11
  0.17083022E+01  0.41935877E-11
  0.17862617E+01  0.41910655E-11
  0.18677790E+01  0.41884364E-11
  0.19530164E+01  0.41856964E-11
  0.20421436E+01  0.41828415E-11
  0.21353382E+01  0.41798673E-11
  0.22327858E+01  0.41767697E-11
  0.23346805E+01  0.41735441E-11
  0.24412252E+01  0.41701861E-11
  0.25526322E+01  0.41666913E-11
  0.26691232E+01  0.41630550E-11
  0.27909305E+01  0.41592727E-11
  0.29182965E+01  0.41553399E-11
  0.30514749E+01  0.41512519E-11
  0.31907310E+01  0.41470043E-11
  0.33363422E+01  0.41425925E-11
  0.34885984E+01  0.41380123E-11
  0.36478030E+01  0.41332595E-11
  0.38142729E+01  0.41283300E-11
  0.39883398E+01  0.41232202E-11
  0.41703504E+01  0.41179266E-11
  0.43606672E+01  0.41124461E-11
  0.45596692E+01  0.41067762E-11
  0.47677528E+01  0.41009149E-11
  0.49853324E+01  0.40948608E-11
  0.52128414E+01  0.40886133E-11
  0.54507329E+01  0.40821728E-11
  0.56994808E+01  0.40755408E-11
  0.59595804E+01  0.40687198E-11
  0.62315499E+01  0.40617141E-11
  0.65159309E+01  0.40545294E-11
  0.68132898E+01  0.40471736E-11
  0.71242189E+01  0.40396566E-11
  0.74493374E+01  0.40319902E-11
  0.77892930E+01  0.40241822E-11
  0.81447626E+01  0.40162382E-11
  0.85164544E+01  0.40081645E-11
  0.89051085E+01  0.39999675E-11
  0.93114992E+01  0.39916537E-11
  0.97364357E+01  0.39832293E-11
  0.10180765E+02  0.39747005E-11
  0.10645371E+02  0.39660726E-11
  0.11131179E+02  0.39573496E-11
  0.11639158E+02  0.39485342E-11
  0.12170319E+02  0.39396266E-11
  0.12725720E+02  0.39306241E-11
  0.13306467E+02  0.39215200E-11
  0.13913716E+02  0.39123027E-11
  0.14548678E+02  0.39029543E-11
  0.15212617E+02  0.38934495E-11
  0.15906855E+02  0.38837745E-11
  0.16632775E+02  0.38739339E-11
  0.17391823E+02  0.38639332E-11
  0.18185510E+02  0.38537776E-11
  0.19015418E+02  0.38434713E-11
  0.19883200E+02  0.38330179E-11
  0.20790583E+02  0.38224189E-11
  0.21739375E+02  0.38116738E-11
  0.22731466E+02  0.38007802E-11
  0.23768832E+02  0.37897394E-11
  0.24853539E+02  0.37785537E-11
  0.25987747E+02  0.37672227E-11
  0.27173715E+02  0.37557427E-11
  0.28413806E+02  0.37441058E-11
  0.29710489E+02  0.37322984E-11
  0.31066348E+02  0.37202999E-11
  0.32484081E+02  0.37080808E-11
  0.33966514E+02  0.36956013E-11
  0.35516599E+02  0.36828299E-11
  0.37137423E+02  0.36697597E-11
  0.38832214E+02  0.36563844E-11
  0.40604349E+02  0.36426955E-11
  0.42457356E+02  0.36286813E-11
  0.44394926E+02  0.36143263E-11
  0.46420918E+02  0.35996100E-11
  0.48539368E+02  0.35845124E-11
  0.50754495E+02  0.35690177E-11
  0.53070711E+02  0.35531073E-11
  0.55492628E+02  0.35367574E-11
  0.58025072E+02  0.35199382E-11
  0.60673085E+02  0.35026126E-11
  0.63441942E+02  0.34847419E-11
  0.66337158E+02  0.34663066E-11
  0.69364499E+02  0.34472901E-11
  0.72529995E+02  0.34276742E-11
  0.75839950E+02  0.34074381E-11
  0.79300958E+02  0.33865579E-11
  0.82919910E+02  0.33650071E-11
  0.86704016E+02  0.33427590E-11
  0.90660813E+02  0.33197845E-11
  0.94798180E+02  0.32960501E-11
  0.99124359E+02  0.32715188E-11
  0.10364797E+03  0.32461710E-11
  0.10837801E+03  0.32200005E-11
  0.11332391E+03  0.31930045E-11
  0.11849553E+03  0.31651836E-11
  0.12390315E+03  0.31365380E-11
  0.12955756E+03  0.31070422E-11
  0.13547000E+03  0.30766555E-11
  0.14165227E+03  0.30453289E-11
  0.14811666E+03  0.30130115E-11
  0.15487607E+03  0.29797040E-11
  0.16194394E+03  0.29454401E-11
  0.16933436E+03  0.29102668E-11
  0.17706205E+03  0.28742000E-11
  0.18514240E+03  0.28371784E-11
  0.19359150E+03  0.27991150E-11
  0.20242617E+03  0.27599050E-11
  0.21166403E+03  0.27195325E-11
  0.22132346E+03  0.26780977E-11
  0.23142371E+03  0.26357207E-11
  0.24198488E+03  0.25924196E-11
  0.25302803E+03  0.25481471E-11
  0.26457513E+03  0.25028432E-11
  0.27664920E+03  0.24565002E-11
  0.28927427E+03  0.24091716E-11
  0.30247550E+03  0.23609240E-11
  0.31627917E+03  0.23118118E-11
  0.33071278E+03  0.22618771E-11
  0.34580508E+03  0.22111575E-11
  0.36158613E+03  0.21596770E-11
  0.37808736E+03  0.21074548E-11
  0.39534163E+03  0.20545299E-11
  0.41338331E+03  0.20009650E-11
  0.43224834E+03  0.19468472E-11
  0.45197428E+03  0.18922928E-11
  0.47260044E+03  0.18374073E-11
  0.49416788E+03  0.17822227E-11
  0.51671956E+03  0.17267492E-11
  0.54030041E+03  0.16710722E-11
  0.56495738E+03  0.16153183E-11
  0.59073959E+03  0.15595747E-11
  0.61769839E+03  0.15039211E-11
  0.64588748E+03  0.14484887E-11
  0.67536299E+03  0.13933743E-11
  0.70618363E+03  0.13385472E-11
  0.73841080E+03  0.12840558E-11
  0.77210867E+03  0.12301426E-11
  0.80734438E+03  0.11769147E-11
  0.84418808E+03  0.11243113E-11
  0.88271317E+03  0.10724498E-11
  0.92299639E+03  0.10214826E-11
  0.96511795E+03  0.97152527E-12
  0.10091618E+04  0.92259587E-12
  0.10552155E+04  0.87471801E-12
  0.11033710E+04  0.82800658E-12
  0.11537241E+04  0.78255662E-12
  0.12063751E+04  0.73841497E-12
  0.12614288E+04  0.69560144E-12
  0.13189950E+04  0.65418173E-12
  0.13791882E+04  0.61420132E-12
  0.14421284E+04  0.57567996E-12
  0.15079409E+04  0.53864213E-12
  0.15767568E+04  0.50314202E-12
  0.16487131E+04  0.46917401E-12
  0.17239533E+04  0.43670970E-12
  0.18026270E+04  0.40579021E-12
  0.18848911E+04  0.37642043E-12
  0.19709094E+04  0.34855987E-12
  0.20608532E+04  0.32219732E-12
  0.21549016E+04  0.29729517E-12
  0.22532420E+04  0.27382970E-12
  0.23560703E+04  0.25178686E-12
  0.24635911E+04  0.23110784E-12
  0.25760188E+04  0.21175890E-12
  0.26935771E+04  0.19368746E-12
  0.28165003E+04  0.17685000E-12
  0.29450332E+04  0.16119881E-12
  0.30794318E+04  0.14667884E-12
  0.32199637E+04  0.13324015E-12
  0.33669090E+04  0.12082234E-12
  0.35205601E+04  0.10937795E-12
  0.36812233E+04  0.98851705E-13
  0.38492184E+04  0.89188983E-13
  0.40248800E+04  0.80337792E-13
  0.42085582E+04  0.72244046E-13
  0.44006186E+04  0.64865669E-13
  0.46014438E+04  0.58141094E-13
  0.48114338E+04  0.52031885E-13
  0.50310068E+04  0.46490976E-13
  0.52606002E+04  0.41475303E-13
  0.55006712E+04  0.36943335E-13
  0.57516981E+04  0.32856695E-13
  0.60141807E+04  0.29176136E-13
  0.62886419E+04  0.25869724E-13
  0.65756283E+04  0.22903792E-13
  0.68757115E+04  0.20248586E-13
  0.71894893E+04  0.17874922E-13
  0.75175865E+04  0.15756981E-13
  0.78606566E+04  0.13870674E-13
  0.82193830E+04  0.12191583E-13
  0.85944801E+04  0.10702755E-13
  0.89866950E+04  0.93824211E-14
  0.93968089E+04  0.82134968E-14
  0.98256386E+04  0.71808967E-14
  0.10274038E+05  0.62701273E-14
  0.10742901E+05  0.54671510E-14
  0.11233160E+05  0.47612862E-14
  0.11745793E+05  0.41408876E-14
  0.12281820E+05  0.35968840E-14
  0.12842310E+05  0.31206725E-14
  0.13428377E+05  0.27038655E-14
  0.14041190E+05  0.23399391E-14
  0.14681969E+05  0.20224257E-14
  0.15351991E+05  0.17459359E-14
  0.16052589E+05  0.15053871E-14
  0.16785160E+05  0.12963866E-14
  0.17551162E+05  0.11151515E-14
  0.18352121E+05  0.95813203E-15
  0.19189633E+05  0.82228589E-15
  0.20065365E+05  0.70471733E-15
  0.20981061E+05  0.60337960E-15
  0.21938546E+05  0.51611220E-15
  0.22939727E+05  0.44082096E-15
  0.23986596E+05  0.37615079E-15
  0.25081241E+05  0.32066962E-15
  0.26225840E+05  0.27303556E-15
  0.27422674E+05  0.23223157E-15
  0.28674126E+05  0.19736106E-15
  0.29982690E+05  0.16750129E-15
  0.31350970E+05  0.14202806E-15
  0.32781693E+05  0.12031158E-15
  0.34277707E+05  0.10183253E-15
  0.35841994E+05  0.86098438E-16
  0.37477667E+05  0.72708636E-16
  0.39187986E+05  0.61361515E-16
  0.40976356E+05  0.51717397E-16
  0.42846340E+05  0.43540613E-16
  0.44801661E+05  0.36658627E-16
  0.46846215E+05  0.30800663E-16
  0.48984074E+05  0.25861619E-16
  0.51219495E+05  0.21702115E-16
  0.53556932E+05  0.18179078E-16
  0.56001038E+05  0.15221854E-16
  0.58556683E+05  0.12743788E-16
  0.61228957E+05  0.10644292E-16
  0.64023182E+05  0.88854552E-17
  0.66944923E+05  0.74097171E-17
  0.70000000E+05  0.61798313E-17
  Principal QN n  Azimuthal QN l
               2               1
 Electron Energy Probability dst
  0.10000000E+01  0.17801135E-10
  0.10456357E+01  0.17939184E-10
  0.10933540E+01  0.18082490E-10
  0.11432499E+01  0.18231201E-10
  0.11954229E+01  0.18385466E-10
  0.12499768E+01  0.18545431E-10
  0.13070204E+01  0.18711240E-10
  0.13666671E+01  0.18883035E-10
  0.14290359E+01  0.19060953E-10
  0.14942509E+01  0.19245127E-10
  0.15624421E+01  0.19435686E-10
  0.16337452E+01  0.19632749E-10
  0.17083022E+01  0.19836430E-10
  0.17862617E+01  0.20046833E-10
  0.18677790E+01  0.20264052E-10
  0.19530164E+01  0.20488167E-10
  0.20421436E+01  0.20719249E-10
  0.21353382E+01  0.20957351E-10
  0.22327858E+01  0.21202510E-10
  0.23346805E+01  0.21454747E-10
  0.24412252E+01  0.21714060E-10
  0.25526322E+01  0.21980429E-10
  0.26691232E+01  0.22253808E-10
  0.27909305E+01  0.22534127E-10
  0.29182965E+01  0.22821290E-10
