# eV, DoS
1.921931222422976204e-02 4.779950739779025781e+01
1.935959917477158426e-02 4.814072318410831031e+01
1.949988612531340995e-02 4.848193897042636280e+01
1.964017307585522870e-02 4.882315475674440108e+01
1.978046002639705439e-02 4.916437054306245358e+01
1.992074697693887661e-02 4.945561732481819206e+01
2.006103392748069883e-02 4.938797819203173134e+01
2.020132087802252452e-02 4.932033905924526351e+01
2.034160782856434674e-02 4.925269992645880279e+01
2.048189477910616896e-02 4.918506079367234207e+01
2.062218172964799118e-02 4.911742166088587425e+01
2.076246868018981687e-02 4.904978252809941353e+01
2.090275563073163909e-02 4.950717596545589316e+01
2.104304258127346131e-02 4.997030508641731927e+01
2.118332953181528699e-02 5.043343420737874538e+01
2.132361648235710574e-02 5.089656332834015728e+01
2.146390343289893143e-02 5.135969244930159050e+01
2.160419038344075712e-02 5.182282157026301661e+01
2.174447733398257587e-02 5.175249172877409620e+01
2.188476428452440156e-02 5.159254507359669617e+01
2.202505123506622031e-02 5.143259841841929614e+01
2.216533818560804600e-02 5.127265176324190321e+01
2.230562513614987169e-02 5.111270510806450318e+01
2.244591208669169044e-02 5.095275845288710315e+01
2.258619903723351613e-02 5.081909387113284993e+01
2.272648598777533835e-02 5.069549124491110348e+01
2.286677293831716057e-02 5.057188861868934282e+01
2.300705988885898626e-02 5.044828599246758927e+01
2.314734683940080848e-02 4.981147945613837891e+01
2.328763378994263070e-02 4.863717758232036203e+01
2.342792074048445292e-02 4.746287570850237358e+01
2.356820769102627861e-02 4.628857383468435671e+01
2.370849464156810082e-02 4.511427196086633984e+01
2.384878159210992304e-02 4.496146829408155554e+01
2.398906854265174873e-02 4.483347526018076223e+01
2.412935549319356748e-02 4.470548222627996182e+01
2.426964244373539317e-02 4.457748919237917562e+01
2.440992939427721539e-02 4.444949615847837521e+01
2.455021634481903761e-02 4.378565094626749499e+01
2.469050329536086330e-02 4.289737671930550533e+01
2.483079024590268205e-02 4.200910249234353699e+01
2.497107719644450774e-02 4.112082826538154734e+01
2.511136414698633343e-02 4.023255403841955768e+01
